participant_id,Gender,Age,Ethnicity,Task_Order,Experimenter,Condition,Incentive ,Comments,Unnamed: 5,PI_Enticing,PI_Alive,PI_Safe,PI_Good,PI_Changing,PI_Hierarchical,PI_Understandable,PI_AboutMe,PI_Abundant,PI_Acceptable,PI_Beautiful,PI_Cooperative,PI_Funny,PI_Harmless,PI_Improvable,PI_Intentional,PI_Interconnected,PI_Interesting,PI_Just,PI_Meaningful,PI_NeedsMe,PI_Pleasurable,PI_Progressing,PI_Regenerative,PI_Stable,PI_WorthExploring,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionRegulation,MAIA_EmotionalAwareness,MAIA_SelfRegulation,MAIA_BodyListening,MAIA_Trusting,PI_Beautiful_4_GE,PI_Regenerative_4_GS_R,PI_Good_1_G_R,PI_Understandable_4_G,PI_Stable_4_GS_R,PI_Regenerative_3_GS,PI_Understandable_2_G_R,PI_Cooperative_1_GS_R,PI_Abundant_2_GE,PI_Changing_5_R,PI_Acceptable_2_R,PI_Hierarchical_4,PI_Just_4_GS,PI_Meaningful_1_GE,PI_Changing_3,PI_Stable_1_GS_R,PI_NeedsMe_3_GA_R,PI_Enticing_1_GE,PI_Harmless_4_GS,PI_Harmless_3_GS,PI_Cooperative_4_GS,PI_Understandable_1_G,PI_Changing_1,PI_WorthExploring_1_GE,PI_Harmless_1_GS,PI_Harmless_2_GS_R,PI_Funny_1_GE,PI_Intentional_2_A,PI_Harmless_5_GS_R,PI_Just_2_GA,PI_Funny_2_GE,PI_Beautiful_1_GE,PI_Hierarchical_5,PI_Pleasurable_4_GS,PI_Interconnected_2_R,PI_Intentional_5_A_R,PI_Progressing_2_GS_R,PI_Hierarchical_3_R,PI_Interesting_1_GE_R,PI_Intentional_1_A,PI_Interesting_4_GE_R,PI_Abundant_4_GE,PI_Regenerative_1_GS,PI_WorthExploring_3_GE,PI_Stable_3_GS_R,PI_Progressing_1_GS_R,PI_Understandable_3_G_R,PI_Improvable_2_G_R,PI_Beautiful_2_GE_R,PI_Improvable_5_GE,PI_Meaningful_3_GE_R,PI_AboutMe_4,PI_Acceptable_4_R,PI_NeedsMe_4_GA,PI_Stable_2_GS,PI_Improvable_1_G,PI_Improvable_4_GE,PI_Funny_3_G_R,PI_Funny_4_GE,PI_WorthExploring_2_GE_R,PI_WorthExploring_4_GE,PI_Pleasurable_3_GS_R,PI_AboutMe_1_A,PI_Interesting_2_GE_R,PI_Progressing_3_GS,PI_Improvable_3_GE,PI_Pleasurable_1_GS_R,PI_Interesting_3_GE,PI_AboutMe_5_A,PI_Changing_2,PI_Hierarchical_1,PI_Just_5_GS_R,PI_NeedsMe_2_GA,PI_Hierarchical_2,PI_Pleasurable_2_GS,PI_Cooperative_3_GS_R,PI_Abundant_1_GE,PI_Enticing_2_GE,PI_Acceptable_1_R,PI_Pleasurable_5_GS,PI_Meaningful_4_GE_R,PI_AboutMe_2_A,PI_Abundant_3_GE_R,PI_Regenerative_2_GS_R,PI_Interconnected_4,PI_AboutMe_3_A_R,PI_Just_3_GS,PI_Interconnected_3,PI_Just_1_G,PI_Intentional_4_A_R,PI_Beautiful_3_GE,PI_Intentional_3_A,PI_Meaningful_2_GE_R,PI_Acceptable_3,PI_Progressing_4_GS,PI_Changing_4,PI_NeedsMe_1_GA,PI_Cooperative_2_GS_R,PI_Interconnected_1,MAIA_NotWorrying_5_R,MAIA_NotDistracting_1_R,MAIA_NotDistracting_2_R,MAIA_NotWorrying_1_R,MAIA_EmotionalAwareness_2,MAIA_SelfRegulation_3,MAIA_NotDistracting_6_R,MAIA_Noticing_1,MAIA_AttentionRegulation_3,MAIA_Trusting_1,MAIA_NotDistracting_3_R,MAIA_BodyListening_2,MAIA_NotDistracting_5_R,MAIA_Noticing_2,MAIA_Trusting_2,MAIA_AttentionRegulation_4,MAIA_EmotionalAwareness_5,MAIA_EmotionalAwareness_3,MAIA_Noticing_4,MAIA_NotWorrying_3,MAIA_Noticing_3,MAIA_SelfRegulation_2,MAIA_BodyListening_1,MAIA_NotWorrying_4,MAIA_AttentionRegulation_6,MAIA_EmotionalAwareness_4,MAIA_Trusting_3,MAIA_AttentionRegulation_7,MAIA_NotDistracting_4_R,MAIA_SelfRegulation_4,MAIA_AttentionRegulation_2,MAIA_EmotionalAwareness_1,MAIA_AttentionRegulation_1,MAIA_SelfRegulation_1,MAIA_NotWorrying_2_R,MAIA_BodyListening_3,MAIA_AttentionRegulation_5,IAS_16,IAS_14,IAS_5,IAS_10,IAS_19,IAS_15,IAS_20,IAS_18,IAS_8,IAS_3,IAS_9,IAS_11,IAS_4,IAS_21,IAS_6,IAS_17,IAS_2,IAS_1,IAS_7,IAS_13,IAS_12,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SampEn,HRV_HF,HRV_HFD,HRV_LFHF,HRV_IALS,HRV_Ca,HRV_AI,HCT_Accuracy,HCT_Sensibility,HCT_Awareness,HRV_MeanNN_HCT,HRV_SDNN_HCT,HRV_RMSSD_HCT
sub-28,Female,,Caucasian,Questionnaire_First,Exp1,Questionnaire,Credits_4,Good EEG ECG; EEG shifts a bit sometimes during RS due to movement; RSP choppy but visible cycles; screen blinked during RS; TP9 and 10 shifts during TAP and HCT due to movement,,0.5133333333333333,0.55,0.5146666666666666,0.5523943661971831,0.4679999999999999,0.352,0.5499999999999999,0.534,0.63,0.2875,0.69,0.2899999999999999,0.6174999999999999,0.404,0.764,0.436,0.5375000000000001,0.4675,0.54,0.4925,0.5850000000000001,0.616,0.4625,0.485,0.4575,0.7175,0.585,0.3666666666666666,0.536,0.4728571428571428,0.5639999999999998,0.4974999999999999,0.4666666666666666,0.5866666666666668,0.7,0.24,0.57,0.43,0.36,0.76,0.25,0.68,0.56,0.37,0.62,0.29,0.6,0.61,0.32,0.67,0.2,0.79,0.38,0.28,0.33,0.38,0.25,0.8,0.31,0.38,0.55,0.53,0.57,0.4,0.57,0.71,0.28,0.62,0.52,0.69,0.41,0.64,0.54,0.34,0.59,0.68,0.78,0.64,0.58,0.62,0.36,0.31,0.35,0.72,0.39,0.67,0.68,0.27,0.44,0.83,0.77,0.39,0.74,0.32,0.75,0.3,0.54,0.62,0.4,0.81,0.4,0.62,0.42,0.57,0.54,0.3,0.67,0.29,0.55,0.81,0.6,0.6,0.78,0.61,0.59,0.61,0.32,0.28,0.59,0.57,0.63,0.55,0.37,0.34,0.7,0.34,0.66,0.23,0.48,0.57,0.6,0.68,0.53,0.36,0.7,0.64,0.57,0.38,0.53,0.64,0.55,0.44,0.57,0.6,0.46,0.66,0.64,0.64,0.46,0.57,0.7,0.68,0.58,0.47,0.59,0.4,0.57,0.35,0.58,0.55,0.46,0.56,0.42,0.36,0.59,0.66,0.45,0.54,0.54,0.58,0.77,0.78,0.76,0.79,0.75,0.8,0.71,0.59,0.63,0.87,0.75,0.82,0.92,0.68,0.82,0.8,0.76,0.91,0.87,0.7,0.75,626.1660130718955,42.93298711531505,17.751613008341124,0.9037386206724466,0.0032296394794174,1.4541467363760243,7.02956369696149,0.2645502645502646,0.5254136764791577,50.24071726610744,0.3485537517434861,0.2933333333333333,0.3142857142857143,630.7053709134354,42.49825661876216,19.33718889647508
sub-29,Male,19.0,Caucasian,Task_First,Exp1,Task,Credits_4,"TP10 noisy (65) after multiple adjustments, during RS and TAP; good RSP; tiny noise with ECG; TP10 less noisy during HCT (35)",,0.6022222222222222,0.38,0.5166666666666667,0.5201408450704227,0.5700000000000001,0.446,0.4625,0.348,0.5475,0.56,0.7250000000000001,0.4275,0.79,0.5479999999999999,0.388,0.128,0.225,0.5875,0.38,0.5275,0.33,0.406,0.4599999999999999,0.565,0.43,0.7324999999999999,0.4725,0.4949999999999999,0.428,0.1814285714285714,0.372,0.105,0.1433333333333333,0.4433333333333333,0.67,0.4,0.45,0.36,0.66,0.35,0.64,0.37,0.63,0.28,0.37,0.54,0.38,0.37,0.59,0.41,0.53,0.68,0.39,0.56,0.26,0.55,0.39,0.69,0.4,0.29,0.7,0.0,0.32,0.19,0.86,0.75,0.38,0.37,0.59,0.62,0.46,0.44,0.52,0.0,0.37,0.55,0.39,0.61,0.57,0.56,0.42,0.4,0.26,0.27,0.35,0.26,0.33,0.3,0.36,0.37,0.38,0.23,0.83,0.37,1.0,0.38,0.4,0.41,0.48,0.32,0.66,0.65,0.4,0.58,0.54,0.39,0.55,0.21,0.29,0.57,0.4,0.75,0.4,0.41,0.27,0.27,0.39,0.6,0.36,0.59,0.4,0.0,0.32,0.74,0.74,0.0,0.64,0.34,0.38,0.57,0.0,0.61,0.13,0.0,0.68,0.58,0.59,0.58,0.02,0.27,0.34,0.11,0.54,0.6,0.0,0.35,0.69,0.5,0.27,0.3,0.15,0.6,0.24,0.26,0.14,0.21,0.24,0.0,0.3,0.29,0.21,0.55,0.09,0.23,0.53,0.11,0.17,0.75,0.22,0.34,0.72,1.0,0.79,0.87,0.66,0.68,0.64,0.16,0.3,0.41,0.92,0.61,0.88,0.87,0.98,0.86,0.74,1.0,1.0,1.0,0.74,876.9184981684982,116.84791042612346,118.22260335889295,1.610127329903668,0.0327658299748043,1.9086899696604724,0.4736911226002679,0.4298892988929889,0.5318001434769752,50.14275918302775,0.5914335664335665,0.1233333333333333,0.2571428571428572,914.4915722961229,91.48740415667834,70.70536509640907
sub-30,Female,20.0,Caucasian,Questionnaire_First,Exp1,Questionnaire,Credits_4,"Good RSP; ECG bit noisy; TP10 noisy (60) during RS, attempted to reposition; AF7 shifted during RS from 4mins due to movement; TP10 less noisy (45) during TAP, AF7 shifted during first TAP trial due to movement; TP10 less noisy (40) during HCT",,0.6188888888888889,0.775,0.3666666666666666,0.5405633802816899,0.8099999999999999,0.632,0.21,0.8399999999999999,0.5800000000000001,0.3,0.67,0.2425,0.7825,0.352,0.4479999999999999,0.82,0.8375,0.49,0.6779999999999999,0.75,0.9225,0.4600000000000001,0.2275,0.5925,0.555,0.735,0.64,0.3366666666666667,0.55,0.6157142857142857,0.726,0.6425,0.62,0.6166666666666667,0.76,0.38,0.61,0.12,0.61,0.31,0.86,0.73,0.71,0.15,0.65,0.63,0.76,0.83,0.87,0.6,0.0,0.59,0.39,0.31,0.34,0.28,0.76,0.64,0.39,0.76,0.88,0.96,0.57,0.86,0.91,0.64,0.83,0.27,0.05,0.21,0.95,0.53,0.34,0.73,0.59,0.39,0.3,0.74,0.57,0.72,0.7,0.88,0.39,0.58,0.19,0.84,0.7,0.75,1.0,0.27,0.66,0.61,0.95,0.22,0.78,0.53,0.98,0.79,0.39,0.61,0.59,0.68,0.72,0.78,0.62,0.21,0.94,0.61,0.56,0.71,0.49,0.68,0.77,0.59,0.29,0.97,0.27,0.64,0.88,0.31,0.24,0.71,0.74,0.38,0.67,1.0,0.35,0.32,0.19,0.79,1.0,0.93,0.81,0.33,0.55,0.65,0.16,0.33,0.69,0.43,0.18,0.92,0.58,0.98,0.91,0.59,0.86,0.92,0.38,0.98,0.75,0.9,0.41,0.62,0.7,0.31,0.52,0.7,0.79,0.35,0.43,0.78,0.62,0.55,0.78,0.64,0.56,0.69,0.64,0.69,0.42,0.99,0.81,0.95,0.59,0.39,0.76,0.05,0.89,1.0,0.69,0.68,0.36,0.61,0.72,0.76,0.22,0.89,0.73,0.77,0.93,669.7097902097902,72.19376579722059,34.41589940205923,0.8811900443375091,0.0026863843421436,1.597868316978896,13.409770651358988,0.2253521126760563,0.5676417076221378,50.225013057414166,0.4366518195442428,0.5333333333333333,-0.8857142857142858,722.21760192969,48.45272762883862,41.71828350910521
sub-31,Female,20.0,Indian,Task_First,Exp2,Task,Credits_4,"good EEG during all tasks, however signal stopped streaming at 7:15 on the RS, TP9 and TP10 on HCT varied between 10 and 50; ECG sensor (white) came out in the middle of the TAP (between trial 3 and 4) but signal remained noisy after it was attached back to the body (before final trial on TAP); ECG signal was good on HCT; RSP signals good until the sensor came out then irregular, however signal settled after a few seconds (~ 3 seconds) when the tasks started. ",,0.8333333333333334,0.29,0.3246666666666666,0.5299999999999998,0.5820000000000001,0.784,0.305,0.308,0.7025,0.3624999999999999,0.5975,0.115,0.5725,0.366,0.58,0.482,0.5725,0.7899999999999999,0.556,0.735,0.5925,0.38,0.4249999999999999,0.4375,0.285,0.995,0.6575,0.145,0.524,0.5214285714285715,0.582,0.6525,0.3166666666666666,0.4566666666666667,0.79,0.24,0.12,0.19,0.64,0.69,0.63,0.84,0.75,0.23,0.64,0.76,0.68,0.36,0.56,0.75,0.45,0.84,0.64,0.31,0.14,0.27,0.32,1.0,0.62,1.0,0.59,0.35,0.74,0.61,0.65,0.38,1.0,0.23,0.69,0.72,0.54,0.21,0.0,0.62,0.34,0.66,1.0,0.98,0.72,0.65,0.61,0.62,0.4,0.68,0.17,0.36,0.93,0.62,0.25,0.67,0.57,0.63,0.68,0.0,1.0,0.63,0.36,0.19,0.59,0.6,0.84,0.69,0.33,0.64,0.61,0.38,0.7,0.76,0.53,0.85,0.55,0.29,0.68,0.61,0.0,0.32,0.15,0.32,0.98,0.83,0.25,0.0,0.62,0.84,0.62,1.0,0.25,0.7,0.3,0.62,0.5,0.99,1.0,0.26,0.67,0.75,0.19,0.18,0.69,0.8,0.75,0.65,0.31,1.0,0.3,0.91,0.84,0.42,0.69,0.58,0.6,0.81,0.21,0.23,0.67,0.34,0.64,0.73,0.81,0.64,0.22,1.0,0.91,0.3,0.74,0.35,0.34,0.78,0.31,0.71,0.03,0.7,0.86,0.99,0.35,0.66,0.28,0.0,0.68,0.66,0.8,0.61,0.64,0.18,0.37,0.6,0.68,0.89,0.23,0.99,0.73,920.3384615384616,97.44457374996612,79.03573799579213,1.7012953481954274,0.0030972228310283,1.9363014639214795,0.448678791694819,0.5910852713178294,0.4502074108128753,50.13483812480201,0.6656952684391708,0.425,0.1159542071304896,1005.5930377492878,84.92102199391583,82.14968850075104
sub-32,Female,18.0,Indian,Questionnaire_First,Exp2,Questionnaire,Credits_4,"RSP noisy but can see the peaks for RS, but stable for the other tasks; ECG overall good but very noisy at times; EEG stopped streaming from min 4 of the TAP, did a reset, but then fell down on min 6, got adjusted at min 7and was working from min 8 (participant started asynchronous task at minute 8.50); EEG signal good for HCT",,0.4499999999999999,0.3349999999999999,0.37,0.4618309859154929,0.4,0.5399999999999999,0.43,0.05,0.5925,0.1,0.425,0.0775,0.5275000000000001,0.2759999999999999,0.626,0.3939999999999999,0.6025,0.475,0.53,0.47,0.5825,0.4939999999999999,0.4549999999999999,0.47,0.315,0.515,0.76,0.4783333333333333,0.312,0.55,0.6060000000000001,0.6925,0.5433333333333333,0.7066666666666666,0.56,0.22,0.54,0.37,0.74,0.72,0.58,0.78,0.46,0.65,0.8,0.4,0.35,0.42,0.43,0.59,0.3,0.73,0.16,0.37,0.0,0.49,0.3,0.41,0.38,0.68,0.58,0.35,0.85,0.73,0.55,0.44,0.91,0.47,0.45,0.8,0.51,0.62,0.54,0.43,0.56,0.51,0.78,0.55,0.79,0.5,0.56,0.43,0.7,0.62,0.55,0.04,0.95,0.63,0.38,0.45,0.79,0.6,0.58,0.77,0.87,0.41,0.05,0.47,0.39,0.7,0.48,0.47,0.0,0.43,0.43,0.59,0.63,0.58,0.44,0.94,0.77,0.63,1.0,0.45,0.36,0.02,0.37,0.4,0.86,0.86,0.54,0.45,0.62,0.7,0.4,0.69,0.63,0.15,0.44,0.49,0.37,0.97,0.55,0.87,0.18,0.67,0.84,0.37,0.91,0.9,1.0,0.81,0.7,0.36,0.33,0.74,0.83,0.6,0.34,0.61,0.83,0.89,0.39,0.32,0.92,0.54,0.59,0.72,0.85,0.82,0.62,0.28,0.6,0.14,0.37,0.41,0.34,0.71,0.76,0.81,0.31,0.84,0.79,0.3,1.0,1.0,0.63,0.15,1.0,1.0,1.0,1.0,1.0,0.66,0.56,1.0,0.9,0.92,0.77,1.0,1.0,708.1794682422452,48.02865953776893,30.00533729642427,1.3693334971753477,0.0099326847881513,1.7455931469580517,1.4263681089218363,0.3531157270029673,0.4639931822211776,50.14214548916887,0.5826899020429358,0.59,-0.2898855178262242,805.8471380606798,76.2720739070222,43.273846665785264
sub-33,Female,18.0,Caucasian,Task_First,Exp2,Task,Credits_4,"TP10 did not read bellow 30 for any tasks; ECG was good throughout; EEG stop streaming at 40 sec on the TAP, was reset before the HCT and completely fine afterwards ",,0.4444444444444444,0.49,0.1466666666666666,0.3388732394366197,0.984,0.8099999999999999,0.3075,0.8939999999999999,0.7275,0.6425000000000001,0.2624999999999999,0.3225,0.9,0.126,0.136,0.6839999999999999,0.7625,0.7,0.4600000000000001,0.0,0.025,0.126,0.1,0.495,0.0,0.8250000000000001,0.615,0.3433333333333332,0.264,0.1257142857142857,0.496,0.17,0.0466666666666666,0.0999999999999999,0.57,0.89,0.83,0.1,1.0,0.06,0.18,0.81,0.68,0.08,0.59,0.81,0.06,0.0,1.0,1.0,1.0,0.6,0.0,0.24,0.67,0.0,1.0,1.0,0.09,1.0,0.68,1.0,0.7,0.09,0.92,0.22,0.74,0.23,0.18,1.0,0.97,0.06,0.26,0.66,0.62,0.56,0.07,0.66,1.0,0.97,0.69,1.0,0.86,0.31,1.0,0.84,0.23,0.0,0.0,0.12,0.08,0.0,1.0,0.13,0.77,1.0,1.0,0.0,0.19,0.17,0.84,0.68,0.74,1.0,0.82,0.05,0.1,0.74,0.15,0.84,0.8,0.39,0.61,0.09,1.0,0.89,0.13,1.0,0.72,0.0,0.2,0.78,1.0,0.04,0.12,0.8,1.0,1.0,0.15,1.0,0.0,0.73,0.73,0.97,0.75,0.11,0.17,0.65,0.1,0.81,0.71,0.11,0.0,0.78,0.0,0.71,0.78,0.0,0.25,0.05,0.79,0.85,0.09,0.12,0.37,0.05,0.05,0.08,0.79,0.3,0.13,0.78,0.17,0.09,0.2,0.06,0.04,0.68,0.09,0.16,0.24,0.0,0.24,0.12,0.0,0.83,0.23,0.0,0.78,0.21,0.0,0.82,0.0,0.16,0.1,0.94,0.0,0.0,0.76,0.21,0.67,607.0931558935362,43.07980734421289,17.833844300600784,1.0134574203542042,0.0012084014308837,1.5390106315576548,4.3771644292513,0.452319587628866,0.522944898840465,49.871750791722825,0.5654443300084401,0.0,,649.4938251660259,55.75093448615839,27.75143539007429
sub-34,Female,20.0,Caucasian,Questionnaire_First,Exp1,Questionnaire,Credits_4,TP10 slightly noisy during TAP (30),,0.508888888888889,0.415,0.3966666666666666,0.4652112676056338,0.67,0.538,0.505,0.374,0.6599999999999999,0.35,0.31,0.4075,0.5425,0.3359999999999999,0.552,0.52,0.6075,0.675,0.538,0.3524999999999999,0.345,0.42,0.35,0.4925,0.33,0.595,0.645,0.455,0.59,0.5914285714285714,0.6839999999999999,0.59,0.6333333333333333,0.64,0.23,0.61,0.63,0.39,0.71,0.39,0.33,0.4,0.61,0.37,0.59,0.38,0.6,0.38,0.66,0.66,0.69,0.59,0.31,0.33,0.32,0.57,0.65,0.61,0.39,0.72,0.6,0.34,0.63,0.64,0.55,0.34,0.6,0.61,0.4,0.65,0.4,0.25,0.22,0.65,0.42,0.65,0.62,0.67,0.69,0.68,0.61,0.61,0.66,0.65,0.67,0.33,0.7,0.36,0.38,0.69,0.6,0.59,0.61,0.6,0.7,0.65,0.39,0.32,0.32,0.43,0.62,0.66,0.34,0.7,0.38,0.58,0.36,0.58,0.37,0.66,0.61,0.58,0.67,0.39,0.65,0.42,0.23,0.41,0.65,0.61,0.39,0.57,0.64,0.39,0.33,0.65,0.65,0.36,0.16,0.71,0.35,0.63,0.61,0.4,0.4,0.63,0.13,0.79,0.63,0.18,0.7,0.58,0.66,0.67,0.6,0.61,0.68,0.6,0.6,0.6,0.64,0.65,0.58,0.55,0.67,0.72,0.53,0.63,0.69,0.66,0.59,0.78,0.66,0.38,0.7,0.36,0.4,0.63,0.58,1.0,0.58,1.0,1.0,0.96,1.0,1.0,1.0,0.82,0.81,0.66,1.0,1.0,0.79,1.0,0.76,1.0,1.0,0.75,0.99,0.91,0.76,682.7924393723252,31.95470119512203,20.89710335360929,1.4392868912604009,0.0130177277985147,1.7715640705192643,1.7076149830313976,0.3386167146974063,0.5086189833368546,50.08798077582508,0.4908167561873958,0.4266666666666667,-0.4413674147523747,698.8314936447122,27.21074752246517,19.34325832898553
sub-35,Female,18.0,White (British),Task_First,Exp1,Task,Credits_4,"TP9&10 super noisy and unstable throughout (possibly due to full ear piercing, even behind the ear); skipped the TAP influence question because the answer is 'nothing'",,0.2799999999999999,0.4875,0.2493333333333333,0.3653521126760564,0.898,0.5599999999999999,0.4225,0.648,0.4875,0.3125,0.2875,0.3675,0.22,0.072,0.658,0.5359999999999999,0.39,0.3125,0.5820000000000001,0.22,0.0875,0.2599999999999999,0.345,0.435,0.45,0.6525000000000001,0.775,0.5833333333333334,0.156,0.4214285714285714,0.63,0.4449999999999999,0.3933333333333333,0.4599999999999999,0.38,0.6,0.83,0.36,0.89,0.23,0.43,0.61,0.3,0.09,0.78,0.75,0.77,0.69,0.88,0.64,0.99,0.32,0.04,0.13,0.72,0.45,0.8,0.72,0.01,0.91,0.08,0.57,0.91,0.87,0.28,0.35,0.61,0.42,0.57,0.34,0.71,0.36,0.53,0.18,0.77,0.46,0.56,0.54,0.43,0.74,0.69,0.25,0.93,0.64,0.99,0.74,0.76,0.0,0.76,0.7,0.64,0.77,0.29,0.32,0.67,0.68,0.55,0.75,0.57,0.56,0.9,0.3,0.58,0.96,0.74,0.73,0.34,0.06,0.09,0.84,0.56,0.44,0.79,0.37,0.95,0.54,0.37,0.87,0.4,0.17,0.57,0.36,0.43,0.55,0.35,0.82,0.87,0.58,0.26,0.94,0.0,0.8,0.37,0.85,0.23,0.54,0.99,0.41,0.29,0.43,0.77,0.7,0.37,0.48,0.02,0.45,1.0,0.39,0.13,0.57,0.63,0.63,0.36,0.7,0.57,0.53,0.12,0.47,0.84,0.62,0.36,0.37,0.69,0.29,0.7,0.45,0.23,0.86,0.63,0.55,0.41,0.65,0.88,0.57,0.7,0.7,0.81,0.23,0.77,0.63,0.94,0.88,0.73,0.82,0.66,0.9,0.26,0.71,0.71,0.78,0.62,660.8462068965517,51.64848922593743,29.79945052146458,1.3714973555748562,0.0062424197031106,1.7654399269798853,0.894975911339687,0.368567454798331,0.4908615887179107,50.37418608972277,0.6779550827423168,0.5216666666666667,-0.4285714285714286,731.0101403263493,58.016563301533154,28.995375329790463
sub-36,Female,20.0,Caucasian,Questionnaire_First,Exp1,Questionnaire,Credits_4,Double taps during the TAP 'heart' trial,,0.841111111111111,0.5075,0.7473333333333332,0.745774647887324,0.8960000000000001,0.25,0.755,0.236,0.9075,0.2025,0.8374999999999999,0.905,0.8325,0.6659999999999999,0.918,0.562,0.84,0.98,0.476,0.7625000000000001,0.5,0.658,0.6699999999999999,0.525,0.69,0.8200000000000001,0.765,0.2883333333333333,0.8140000000000001,0.5,0.5799999999999998,0.73,0.71,0.5133333333333333,0.87,0.0,0.11,0.68,0.11,0.87,0.1,0.08,1.0,0.25,0.94,0.12,0.58,0.58,0.85,0.63,0.36,0.8,0.55,0.61,1.0,0.6,0.94,1.0,0.63,0.14,0.88,0.56,0.32,0.67,0.87,0.76,0.96,0.2,0.19,0.62,0.07,1.0,0.0,0.63,0.0,0.95,0.8,0.95,0.17,0.47,0.16,0.1,0.28,0.87,0.11,0.64,0.87,0.36,0.67,0.89,0.99,0.1,0.68,0.5,0.83,0.3,0.05,0.0,0.72,0.94,0.28,0.92,0.0,0.94,0.11,0.69,0.64,0.06,0.81,0.09,0.8,0.93,0.76,0.86,0.0,0.14,0.12,0.23,0.78,0.65,0.62,0.82,0.2,0.34,1.0,0.58,0.42,0.38,0.5,1.0,0.36,0.21,0.95,0.19,0.56,0.64,0.08,0.0,0.99,0.69,0.67,0.95,0.41,0.94,0.61,0.85,0.77,0.19,0.24,0.99,0.9,0.81,1.0,0.81,0.26,0.76,0.93,0.29,1.0,0.94,0.21,0.59,0.91,0.27,0.01,0.8,0.76,0.59,0.76,0.74,0.05,0.87,0.33,0.88,0.87,1.0,0.9,0.8,0.27,0.89,0.89,1.0,0.22,0.18,0.61,0.9,0.33,0.92,0.11,0.91,0.34,710.2692878338279,56.25450121343979,28.620635693823672,1.1582137559656962,0.0067993095112905,1.6486524795251851,3.798760365111868,0.2994011976047904,0.5109594226224521,50.74194913728116,0.8710603821907013,0.5333333333333333,-0.5428571428571429,769.1410020943681,63.952573947509535,42.512398506587125
sub-37,Female,20.0,Caucasian,Task_First,Exp1,Task,Credits_4,"TP10 noisy during RS (80), TAP (60), HCT (60); EEG died during TAP 'random' & reco during TAP 'heart' ",,0.6933333333333334,0.3799999999999999,0.488,0.4790140845070422,0.7459999999999999,0.3419999999999999,0.24,0.6439999999999999,0.5625,0.3425,0.535,0.5800000000000001,0.4649999999999999,0.426,0.548,0.268,0.755,0.5925,0.272,0.6225,0.1974999999999999,0.5960000000000001,0.5675000000000001,0.4649999999999999,0.3275,0.56,0.6174999999999999,0.2633333333333333,0.47,0.3271428571428571,0.344,0.425,0.2466666666666666,0.39,0.52,0.5,0.42,0.17,0.89,0.58,0.71,0.45,0.44,0.41,0.54,0.17,0.24,0.24,0.75,0.6,0.8,0.73,0.57,0.54,0.42,0.3,0.8,0.66,0.42,0.77,0.52,0.53,0.63,0.13,0.48,0.23,0.8,0.58,0.17,0.75,0.43,0.73,0.18,0.09,0.44,0.57,0.52,0.8,0.56,0.46,0.8,0.34,0.18,0.71,0.23,0.63,0.68,0.2,0.36,0.36,0.73,0.53,0.39,0.46,0.24,0.29,0.75,0.44,0.6,0.28,0.47,0.43,0.59,0.76,0.19,0.44,0.29,0.28,0.63,0.55,0.55,0.63,0.76,0.53,0.25,0.5,0.31,0.54,0.68,0.25,0.35,0.81,0.08,0.68,0.57,0.15,0.27,0.35,0.56,0.83,0.1,0.1,0.7,0.3,0.58,0.83,0.59,0.39,0.54,0.81,0.62,0.35,0.31,0.83,0.23,0.71,0.83,0.4,0.43,0.2,0.72,0.72,0.42,0.3,0.62,0.21,0.39,0.38,0.17,0.46,0.47,0.66,0.23,0.24,0.24,0.23,0.31,0.57,0.3,0.19,0.22,0.54,0.97,0.3,0.35,0.75,0.72,0.01,0.67,0.77,0.69,0.78,0.67,0.31,1.0,0.79,0.31,0.35,0.81,0.85,0.55,707.6735598227474,58.182295604216,26.53826644298412,1.1222987369021271,0.00380808798058,1.5136519334205458,5.748152513497927,0.3931240657698057,0.505919580881102,49.8329611733648,0.6723421745093572,0.4016666666666666,-0.0285714285714285,692.4628161785816,38.42951042626357,21.491227361303533
